2026-03-03T20:06:14.356582,"r, 16.84m,0000000016Hz,0000027365c,0000000.059s, 027.0C"
2026-03-03T20:06:19.356998,"r, 16.83m,0000000017Hz,0000027035c,0000000.059s, 027.0C"
2026-03-03T20:06:24.357494,"r, 16.82m,0000000017Hz,0000026814c,0000000.058s, 027.0C"
2026-03-03T20:06:29.357900,"r, 16.81m,0000000017Hz,0000026647c,0000000.058s, 027.0C"
2026-03-03T20:06:34.358394,"r, 16.80m,0000000018Hz,0000026452c,0000000.057s, 027.0C"
2026-03-03T20:06:39.358819,"r, 16.80m,0000000017Hz,0000026318c,0000000.057s, 027.0C"
2026-03-03T20:06:44.359300,"r, 16.80m,0000000017Hz,0000026277c,0000000.057s, 027.0C"
2026-03-03T20:06:49.359774,"r, 16.79m,0000000017Hz,0000026198c,0000000.057s, 027.0C"
2026-03-03T20:06:54.360271,"r, 16.79m,0000000018Hz,0000026170c,0000000.057s, 027.0C"
2026-03-03T20:06:59.360770,"r, 16.79m,0000000017Hz,0000026177c,0000000.057s, 027.0C"
2026-03-03T20:07:04.361251,"r, 16.79m,0000000018Hz,0000026213c,0000000.057s, 027.0C"
2026-03-03T20:07:09.361762,"r, 16.79m,0000000018Hz,0000026207c,0000000.057s, 026.7C"
2026-03-03T20:07:14.362232,"r, 16.80m,0000000017Hz,0000026296c,0000000.057s, 027.0C"
2026-03-03T20:07:19.362723,"r, 16.80m,0000000017Hz,0000026421c,0000000.057s, 027.0C"
2026-03-03T20:07:24.363133,"r, 16.81m,0000000018Hz,0000026557c,0000000.058s, 026.7C"
2026-03-03T20:07:29.363582,"r, 16.81m,0000000018Hz,0000026726c,0000000.058s, 026.7C"
2026-03-03T20:07:34.364085,"r, 16.82m,0000000017Hz,0000026884c,0000000.058s, 026.7C"
2026-03-03T20:07:39.364505,"r, 16.83m,0000000017Hz,0000027082c,0000000.059s, 026.7C"
2026-03-03T20:07:44.364978,"r, 16.84m,0000000017Hz,0000027336c,0000000.059s, 026.7C"
2026-03-03T20:07:49.365493,"r, 16.85m,0000000017Hz,0000027568c,0000000.060s, 026.7C"
2026-03-03T20:07:54.365925,"r, 16.86m,0000000016Hz,0000027805c,0000000.060s, 026.7C"
2026-03-03T20:07:59.366434,"r, 16.86m,0000000017Hz,0000028008c,0000000.061s, 026.7C"
2026-03-03T20:08:04.366909,"r, 16.88m,0000000016Hz,0000028292c,0000000.061s, 026.7C"
2026-03-03T20:08:09.367330,"r, 16.90m,0000000016Hz,0000028754c,0000000.062s, 026.7C"
2026-03-03T20:08:14.367864,"r, 16.90m,0000000016Hz,0000028742c,0000000.062s, 026.7C"
2026-03-03T20:08:19.368268,"r, 16.90m,0000000016Hz,0000028913c,0000000.063s, 026.7C"
2026-03-03T20:08:24.368787,"r, 16.91m,0000000015Hz,0000029137c,0000000.063s, 026.7C"
2026-03-03T20:08:29.369232,"r, 16.92m,0000000016Hz,0000029443c,0000000.064s, 026.7C"
