# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 2
# Data supplier: OAIL
# Location name: ITERA
# Position (lat, lon, elev(m)): -5, 105, 0
# Local timezone: Asia/Jakarta
# Time Synchronization: 0
# Moving / Stationary position: 0
# Moving / Fixed look direction: 0
# Number of channels: 1
# Filters per channel: 1
# Measurement direction per channel: 1
# Field of view (degrees): 10
# Number of fields per line: 6
# SQM serial number: 6881
# SQM hardware identity: B001XNNV
# SQM firmware version: 4-3-80
# SQM cover offset value: 0
# SQM readout test ix (Information): i,00000004,00000003,00000080,00006881
# SQM readout test rx (Reading): r, 15.38m,0000000067Hz,0000006791c,0000000.015s, 026.1C
# SQM readout test cx (Calibration): c,00000019.96m,0000190.216s, 020.3C,00000008.71m, 020.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# Comment: Diambil oleh atikah
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.375
# UDM setting: Logged continuously every 5 seconds,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-03-03T13.23.50.131;2026-03-03T20.23.50.131;25.1;12139;38;16.01
2026-03-03T13.23.55.118;2026-03-03T20.23.55.118;25.1;12192;38;16.02
2026-03-03T13.24.00.123;2026-03-03T20.24.00.123;25.1;12103;38;16.01
2026-03-03T13.24.05.111;2026-03-03T20.24.05.111;25.1;12158;38;16.01
2026-03-03T13.24.10.116;2026-03-03T20.24.10.116;25.1;12076;38;16.01
2026-03-03T13.24.15.124;2026-03-03T20.24.15.124;25.1;11901;38;15.99
2026-03-03T13.24.20.133;2026-03-03T20.24.20.133;25.1;11684;40;15.97
2026-03-03T13.24.25.122;2026-03-03T20.24.25.122;25.1;11581;40;15.96
2026-03-03T13.38.55.111;2026-03-03T20.38.55.111;24.8;0;167;14.41
2026-03-03T13.39.00.121;2026-03-03T20.39.00.121;24.8;0;167;14.41
2026-03-03T13.39.05.110;2026-03-03T20.39.05.110;24.8;0;166;14.41
2026-03-03T13.39.10.103;2026-03-03T20.39.10.103;24.8;0;165;14.42
2026-03-03T13.39.15.123;2026-03-03T20.39.15.123;24.8;0;164;14.42
2026-03-03T13.39.20.114;2026-03-03T20.39.20.114;24.8;0;162;14.44
2026-03-03T13.39.25.124;2026-03-03T20.39.25.124;24.8;0;160;14.45
2026-03-03T13.39.30.112;2026-03-03T20.39.30.112;24.8;0;159;14.46
2026-03-03T13.39.35.096;2026-03-03T20.39.35.096;24.8;0;159;14.46
2026-03-03T13.39.40.110;2026-03-03T20.39.40.110;24.8;0;157;14.47
2026-03-03T13.39.45.123;2026-03-03T20.39.45.123;24.8;0;156;14.48
2026-03-03T13.39.50.118;2026-03-03T20.39.50.118;24.8;0;153;14.50
2026-03-03T13.39.55.093;2026-03-03T20.39.55.093;24.8;0;153;14.50
2026-03-03T13.40.00.134;2026-03-03T20.40.00.134;24.8;0;151;14.52
2026-03-03T13.40.05.109;2026-03-03T20.40.05.109;24.8;0;151;14.52
2026-03-03T13.40.10.121;2026-03-03T20.40.10.121;24.8;0;149;14.53
2026-03-03T13.40.15.123;2026-03-03T20.40.15.123;24.8;0;147;14.54
2026-03-03T13.40.20.119;2026-03-03T20.40.20.119;24.8;0;145;14.56
2026-03-03T13.40.25.124;2026-03-03T20.40.25.124;24.8;0;143;14.57
2026-03-03T13.40.30.115;2026-03-03T20.40.30.115;24.8;0;139;14.61
2026-03-03T13.40.35.108;2026-03-03T20.40.35.108;24.8;0;137;14.62
2026-03-03T13.40.40.128;2026-03-03T20.40.40.128;24.8;0;132;14.66
2026-03-03T13.40.45.118;2026-03-03T20.40.45.118;24.8;0;129;14.69
2026-03-03T13.40.50.135;2026-03-03T20.40.50.135;24.8;3715;125;14.73
2026-03-03T13.40.55.087;2026-03-03T20.40.55.087;24.8;3843;121;14.76
2026-03-03T13.41.00.131;2026-03-03T20.41.00.131;24.8;4002;116;14.81
2026-03-03T13.41.05.136;2026-03-03T20.41.05.136;24.8;4160;112;14.85
2026-03-03T13.41.10.114;2026-03-03T20.41.10.114;24.8;4327;107;14.89
2026-03-03T13.41.15.104;2026-03-03T20.41.15.104;24.8;4487;104;14.93
2026-03-03T13.41.20.111;2026-03-03T20.41.20.111;24.8;4644;100;14.96
2026-03-03T13.41.25.132;2026-03-03T20.41.25.132;24.8;4788;97;14.99
2026-03-03T13.41.30.138;2026-03-03T20.41.30.138;24.8;4928;94;15.03
2026-03-03T13.41.35.103;2026-03-03T20.41.35.103;24.8;5061;92;15.06
2026-03-03T13.41.40.116;2026-03-03T20.41.40.116;24.8;5191;89;15.08
2026-03-03T13.41.45.125;2026-03-03T20.41.45.125;24.8;5293;87;15.11
2026-03-03T13.41.50.133;2026-03-03T20.41.50.133;24.8;5415;85;15.13
2026-03-03T13.41.55.119;2026-03-03T20.41.55.119;24.8;5517;84;15.15
2026-03-03T14.00.38.121;2026-03-03T21.00.38.121;25.1;18122;25;16.45
2026-03-03T14.00.43.105;2026-03-03T21.00.43.105;25.1;18051;25;16.45
2026-03-03T14.00.48.096;2026-03-03T21.00.48.096;25.1;18063;25;16.45
2026-03-03T14.00.53.115;2026-03-03T21.00.53.115;25.1;18058;25;16.45
2026-03-03T14.00.58.105;2026-03-03T21.00.58.105;25.1;18077;25;16.45
2026-03-03T14.01.03.131;2026-03-03T21.01.03.131;25.1;18098;25;16.45
2026-03-03T14.01.08.119;2026-03-03T21.01.08.119;25.1;18110;26;16.45
2026-03-03T14.01.13.127;2026-03-03T21.01.13.127;25.1;18127;25;16.45
2026-03-03T14.01.18.114;2026-03-03T21.01.18.114;24.8;18159;25;16.44
2026-03-03T14.01.23.113;2026-03-03T21.01.23.113;25.1;18143;26;16.45
2026-03-03T14.01.28.098;2026-03-03T21.01.28.098;25.1;18165;26;16.45
2026-03-03T14.01.33.104;2026-03-03T21.01.33.104;25.1;18137;25;16.45
2026-03-03T14.01.38.108;2026-03-03T21.01.38.108;25.1;18086;26;16.45
2026-03-03T14.01.47.613;2026-03-03T21.01.47.613;24.8;18127;26;16.44
